key,pm,workload,pstate,status,serial_avg_active_us,serial_avg_idle_us,serial_misses,pm_states,marker_signal,marker_pulses,marker_complete_cycles,marker_avg_period_us,marker_avg_active_us,marker_avg_low_us,marker_high_ms,marker_low_v,marker_high_v,avg_current_ma,active_avg_current_ma,idle_avg_current_ma,min_current_ma,max_current_ma,charge_mc,avg_charge_period_mc,avg_current_period_ma,avg_active_charge_period_mc,avg_low_charge_period_mc,active_charge_mc,idle_charge_mc,capture_s,notes
1a,transition-period,small,high->medium-3,ok,1593.3999995468184,98406.60000008938,0/10,standby:10,voltage,10,10,99999.9999996362,1593.3999995468184,98406.60000008938,15.933999995468184,-0.006907810205593706,3.2659385204315186,3.8494455719476,16.092783922855553,0.9971886713476805,-8.646962232887745,74.05801862478256,1.2377218860131691,0.1237721886013169,1.2377218860176802,0.025642241895385085,0.0981299467059318,0.2564224189538509,0.981299467059318,1.2537429999974847,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1b,transition-period,small,high->medium-2,ok,3157.699999792385,96842.30000057141,0/10,standby:10,voltage,10,10,100000.0000003638,3157.699999792385,96842.30000057141,31.57699999792385,-0.006894551757723093,3.2826847326755524,3.4476661922345264,8.983371321212498,0.7518739761034084,-7.915085181593895,55.05809932947159,1.0117999677555638,0.10117999677555636,1.0117999677518843,0.02836679161912762,0.07281320515642874,0.2836679161912762,0.7281320515642874,1.273298000000068,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1c,transition-period,small,high->medium-1,ok,4705.699999976787,95294.30000038701,,,voltage,10,10,100000.0000003638,4705.699999976787,95294.30000038701,47.05699999976787,-0.006913035060279071,3.282959222793579,3.171869286620725,6.447458389797829,0.8178569153729507,-6.241864990442991,89.40081298351288,1.0827690719566307,0.10827690719566306,1.0827690719526926,0.030339804944721976,0.0779371022509411,0.30339804944721976,0.7793710225094109,1.255978999997751,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1d,transition-period,small,high->low,ok,18456.799999330542,81543.19999994186,,,voltage,10,10,99999.9999992724,18456.799999330542,81543.19999994186,184.56799999330542,-0.006922406959347427,3.2866926193237305,3.3701676567106085,4.49618773559397,0.7887246210111966,-7.330289576202631,88.48751336336136,1.4730036731129512,0.14730036731129512,1.4730036731236689,0.08298523779530077,0.06431512951599434,0.8298523779530078,0.6431512951599435,1.258696000000782,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1e,transition-period,small,medium-3->high,ok,2175.500000885222,97824.49999947858,0/10,standby:10,voltage,10,10,100000.0000003638,2175.500000885222,97824.49999947858,21.75500000885222,-0.006942450981587172,3.2667637240886687,3.848322039384113,12.958279688124955,0.8220294896647653,-8.775177411735058,74.44765418767929,1.0860536128426903,0.10860536128426904,1.0860536128387515,0.0281907374729868,0.0804146238112822,0.281907374729868,0.804146238112822,1.2580740000012156,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1f,transition-period,small,medium-3->medium-2,ok,3176.3999999384396,96823.60000042536,0/10,standby:10,voltage,10,10,100000.0000003638,3176.3999999384396,96823.60000042536,31.763999999384396,-0.006905148993246258,3.2828929257392883,3.4770575144293243,8.972458857227002,0.7512557935261044,-8.670826442539692,60.68894639611244,1.0123940876391715,0.10123940876391715,1.0123940876354818,0.0285001183135435,0.07273929045037367,0.285001183135435,0.7273929045037366,1.2709880000002158,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1g,transition-period,small,medium-3->medium-1,ok,4707.2000001207925,95292.79999915161,0/10,standby:10,voltage,10,10,99999.9999992724,4707.2000001207925,95292.79999915161,47.072000001207925,-0.006923428718000651,3.2828776836395264,3.1890300716597486,6.458379533879508,0.819792786961731,-6.653247866779566,87.14707940816879,1.085212342313491,0.1085212342313491,1.0852123423213924,0.030400884142657743,0.07812035008869135,0.3040088414265774,0.7812035008869134,1.2531699999999546,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1h,transition-period,small,medium-3->low,ok,18459.699999948498,81540.3000000515,,,voltage,10,10,100000.0,18459.699999948498,81540.3000000515,184.59699999948498,-0.0068937885807827115,3.2861955165863037,3.4530902816145757,4.8265406569204385,0.7945955326118803,-6.670456379652023,87.66710013151169,1.538880506721791,0.1538880506721791,1.5388805067217919,0.08909649256430566,0.06479155810787343,0.8909649256430565,0.6479155810787343,1.2558800000006158,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1i,transition-period,small,medium-2->high,ok,2217.6000002218643,97782.40000014193,0/10,standby:10,voltage,10,10,100000.0000003638,2217.6000002218643,97782.40000014193,22.176000002218643,-0.006939226752147079,3.2681036603450777,3.240743731088427,12.87180978417683,0.8140835386051842,-8.13339278101921,74.6263861656189,1.0814756758566946,0.10814756758566946,1.081475675852762,0.028544525380246336,0.07960304220542312,0.2854452538024634,0.7960304220542311,1.2682159999967553,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1j,transition-period,small,medium-2->medium-3,ok,1654.400000188616,98345.60000053898,0/10,standby:10,voltage,10,10,100000.0000007276,1654.400000188616,98345.60000053898,16.54400000188616,-0.006918035591952503,3.26607874751091,3.277429587626567,15.802600326071923,0.985417405448884,-8.58201365917921,73.90906661748886,1.230552879722789,0.1230552879722789,1.2305528797138368,0.026143821982434017,0.09691146598984487,0.2614382198243402,0.9691146598984488,1.2607869999992545,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
