key,pm,workload,pstate,status,serial_avg_active_us,serial_avg_idle_us,serial_misses,pm_states,marker_signal,marker_pulses,marker_complete_cycles,marker_avg_period_us,marker_avg_active_us,marker_avg_low_us,marker_high_ms,marker_low_v,marker_high_v,avg_current_ma,active_avg_current_ma,idle_avg_current_ma,min_current_ma,max_current_ma,charge_mc,avg_charge_period_mc,avg_current_period_ma,avg_active_charge_period_mc,avg_low_charge_period_mc,active_charge_mc,idle_charge_mc,capture_s,notes
1u,transition-period,small,high->high,ok,2148.799999122275,97851.20000015013,0/10,standby:10,voltage,10,10,99999.9999992724,2148.799999122275,97851.20000015013,21.48799999122275,-0.007515606912784278,3.2817513942718506,3.7711532332406765,13.145692686286264,0.8181895620108692,-9.215200319886208,76.24128460884094,1.0830829490311444,0.10830829490311444,1.0830829490390292,0.02824746443275362,0.0800608304703608,0.2824746443275362,0.800608304703608,1.2609969999975874,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1v,transition-period,small,medium-3->medium-3,ok,1586.299998598406,98413.6999999464,0/10,standby:10,voltage,10,10,99999.99999854481,1586.299998598406,98413.6999999464,15.862999985984061,-0.007462858222424984,3.2649011611938477,3.857865015104365,16.383597945672285,0.9877203569129207,-8.814701810479164,76.47543400526047,1.2319451628732494,0.12319451628732493,1.2319451628911766,0.025989301398256795,0.09720521488906815,0.259893013982568,0.9720521488906816,1.2516919999980018,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1w,transition-period,small,medium-2->medium-2,ok,3076.9000004511327,96923.09999882127,0/10,standby:10,voltage,10,10,99999.9999992724,3076.9000004511327,96923.09999882127,30.769000004511327,-0.007480820477940142,3.2765193700790407,2.8771813203145817,9.328787241366534,0.7549994324667558,-9.024891071021557,57.17713013291359,1.0188063095919788,0.10188063095919789,1.018806309599388,0.02870374546716921,0.07317688549202868,0.28703745467169206,0.7317688549202868,1.277377999998862,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1x,transition-period,small,medium-1->medium-1,ok,4632.500001025619,95367.50000042957,0/10,standby:10,voltage,10,10,100000.00000145519,4632.500001025619,95367.50000042957,46.32500001025619,-0.007436971785500646,3.2817366123199463,2.0915261822314237,6.6417430318799076,0.8180987394600916,-4.82738995924592,49.614571034908295,1.0878790613780729,0.10878790613780728,1.087879061362241,0.03076787460199557,0.07802003153581172,0.3076787460199557,0.7802003153581172,1.2528850000016973,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
1y,transition-period,small,low->low,ok,18366.80000051274,81633.19999948726,0/10,standby:10,voltage,10,10,100000.0,18366.80000051274,81633.19999948726,183.6680000051274,-0.007424317365512252,3.2856185281276704,2.0657253609889312,4.54223164073222,0.7904959802759716,-7.064283359795809,52.1451011300087,1.4795697655798867,0.1479569765579887,1.479569765579883,0.08342626010132953,0.06453071645665913,0.8342626010132953,0.6453071645665913,1.2527980000013486,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
2u,transition-period,medium,high->high,ok,7991.899999615271,92008.10000038473,0/10,standby:10,voltage,10,10,100000.0,7991.899999615271,92008.10000038473,79.9189999961527,-0.007458890276029706,3.284044462442398,4.588439979045366,16.247754676130246,0.8032989019024933,-10.498086921870708,77.01389491558075,2.037604362863582,0.20376043628635818,2.037604362863572,0.12985043058991433,0.07391000569644383,1.2985043058991432,0.7391000569644384,1.2626480000035372,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
2v,transition-period,medium,medium-3->medium-3,ok,7672.69999923883,92327.29999930598,0/10,standby:10,voltage,10,10,99999.99999854481,7672.69999923883,92327.29999930598,76.7269999923883,-0.007422873494215309,3.2839238226413725,4.712009460496647,17.161785914619283,0.9851595626088839,-10.537088848650455,75.93737542629242,2.2263435725821186,0.22263435725821185,2.2263435726145158,0.13167723477403634,0.09095712248417549,1.3167723477403632,0.9095712248417549,1.253353000000061,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
2w,transition-period,medium,medium-2->medium-2,ok,11876.699999265838,88123.30000073416,0/10,standby:10,voltage,10,10,100000.0,11876.699999265838,88123.30000073416,118.76699999265838,-0.007412219047546386,3.2770483791828156,3.6144049260640565,10.812142456520291,0.7524031549439367,-8.760929107666016,56.17689713835716,1.9471682125004008,0.19471682125004008,1.9471682125004133,0.12841257230541672,0.0663042489446234,1.284125723054167,0.663042489446234,1.2806329999948503,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
2x,transition-period,medium,medium-1->medium-1,ok,22917.00000059791,77082.9999986745,0/10,suspend-to-idle:10,voltage,10,10,99999.9999992724,22917.00000059791,77082.9999986745,229.1700000059791,-0.007439046143554151,3.282363176345825,3.0404621791355386,6.71344292355559,0.9358522102528934,-7.023647427558899,50.2815768122673,2.2599026740482078,0.22599026740482078,2.2599026740646506,0.15385197148313748,0.0721382959216833,1.5385197148313747,0.7213829592168332,1.2576459999982035,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
2y,transition-period,medium,low->low,ok,91887.8999997105,8112.1000010170965,0/10,active:0,voltage,10,10,100000.0000007276,91887.8999997105,8112.1000010170965,918.878999997105,-0.007089124550111592,3.2861509323120117,4.502880337266052,4.550145185324749,4.328729424172585,2.825613599270582,7.1319350972771645,4.53218371739518,0.45321837173951796,4.532183717362204,0.41810328577328465,0.03511508596623317,4.181032857732847,0.35115085966233167,1.2603010000020731,
3u,transition-period,large,high->high,ok,22604.500001034467,77395.49999969313,0/10,suspend-to-idle:10,voltage,10,10,100000.0000007276,22604.500001034467,77395.49999969313,226.04500001034467,-0.007375205005519092,3.284578323364258,6.570644268352715,16.930985861724018,0.8893189293218668,-8.712121285498142,77.67938822507858,4.515457531229127,0.4515457531229127,4.5154575311961995,0.38271646992885505,0.06882928319405764,3.827164699288551,0.6882928319405764,1.2652820000002976,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
3v,transition-period,large,medium-3->medium-3,ok,22894.700001052115,77105.30000040308,0/10,suspend-to-idle:10,voltage,10,10,100000.00000145519,22894.700001052115,77105.30000040308,228.94700001052115,-0.007419430604204536,3.2845618724823,6.784229731280079,17.246146916776954,1.1071688421730455,-9.1986870393157,76.12911611795425,4.802139455605299,0.4802139455605299,4.802139455535507,0.3948453598336782,0.08536858572685159,3.948453598336782,0.853685857268516,1.2550929999997607,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
3w,transition-period,large,medium-2->medium-2,ok,33888.90000060201,66111.099999398,0/10,suspend-to-idle:10,voltage,10,10,100000.0,33888.90000060201,66111.099999398,338.88900000602007,-0.007387553215958178,3.2771834647655487,5.488019065141736,11.183255009284082,0.862698160968296,-7.7685946598649025,60.76483428478241,4.360221350799314,0.43602213507993137,4.360221350799321,0.3789882106908597,0.05703392438907177,3.789882106908597,0.5703392438907177,1.2831760000044596,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
3x,transition-period,large,medium-1->medium-1,ok,68618.79999923985,31381.200000760145,0/10,runtime-idle:10,voltage,10,10,100000.0,68618.79999923985,31381.200000760145,686.1879999923985,-0.007221905211918056,3.282773494720459,6.319839672910295,6.742914136178618,5.596448586795625,3.1491033732891083,9.005975909531116,6.383139489186928,0.6383139489186928,6.383139489186918,0.46269067652248774,0.175623272396205,4.626906765224877,1.7562327239620499,1.2615349999978207,selected voltage with 20 pulses; ignored 10 PM wake marker pulses
3y,transition-period,large,low->low,ok,100000.0,0.0,10/10,active:0,voltage,10,10,100000.0,100000.0,0.0,1000.0,-0.006809282461181283,3.286278247833252,4.537320740790724,4.551965611148625,,2.914705779403448,7.270316127687693,4.551965611148625,0.4551965611148625,4.551965611148622,0.4551965611148625,0.0,4.551965611148625,0.0,2.8391479999991134,marker high exceeded 100 ms period
