key,pm,workload,pstate,status,serial_avg_active_us,serial_avg_idle_us,serial_misses,pm_states,marker_signal,marker_pulses,marker_complete_cycles,marker_avg_period_us,marker_avg_active_us,marker_avg_low_us,marker_high_ms,marker_low_v,marker_high_v,avg_current_ma,active_avg_current_ma,idle_avg_current_ma,min_current_ma,max_current_ma,charge_mc,avg_charge_period_mc,avg_current_period_ma,avg_active_charge_period_mc,avg_low_charge_period_mc,active_charge_mc,idle_charge_mc,capture_s,notes
A1a,deadline-3000us,small,high->medium-3,ok,1731.2000025413,1268.799999525072,,active:0,voltage,10,10,3000.000002066372,1731.2000025413,1268.799999525072,17.312000025413,-0.007342220377177,3.28132199048996,14.389921568462869,16.527017708052625,13.575022102116472,-6.036709062755108,59.68466401100159,0.4583556113489903,0.045835561134899026,15.27852036775819,0.02861157309818082,0.017223988036718225,0.28611573098180815,0.17223988036718224,0.2944869999992079,period=3ms
A1b,deadline-3000us,small,high->medium-2,ok,3000.0000006111804,0.0,,active:0,voltage,10,10,3000.0000006111804,3000.0000006111804,0.0,30.000000006111804,-0.007327314652502537,3.2845406591892243,12.142530639873264,9.007711372179504,,-4.086106084287167,56.91944062709808,0.27023134122043846,0.027023134122043845,9.007711372187021,0.027023134122043845,0.0,0.27023134122043846,0.0,0.30253800000355113,marker high exceeded 3 ms period; period=3ms
A1c,deadline-3000us,small,high->medium-1,ok,3000.0000006111804,0.0,,active:0,voltage,10,10,3000.0000006111804,3000.0000006111804,0.0,30.000000006111804,-0.0073441755259409545,3.282381296157837,10.477944846436685,6.45466466226743,,-5.236486438661814,86.96077764034271,0.19363993990747258,0.019363993990747258,6.4546646622731005,0.019363993990747258,0.0,0.19363993990747258,0.0,0.3141360000008717,marker high exceeded 3 ms period; period=3ms
A1d,deadline-3000us,small,high->low,ok,2999.9999998835847,0.0,,active:0,voltage,10,10,2999.9999998835847,2999.9999998835847,0.0,29.999999998835847,-0.0072491020243614914,3.285970588922501,8.105888173866758,4.503146491762528,,-7.458319887518883,90.7583087682724,0.13509439474763346,0.013509439474763348,4.503146491760097,0.013509439474763348,0.0,0.13509439474763346,0.0,0.44932999999582535,marker high exceeded 3 ms period; period=3ms
A1e,deadline-3000us,small,medium-3->high,ok,2306.900000985479,693.0999996257015,,active:0,voltage,10,10,3000.0000006111804,2306.900000985479,693.0999996257015,23.06900000985479,-0.0073432548670098186,3.283242237567902,14.444258361136109,13.419005329443557,13.523851603595338,-5.680165719240904,59.502992779016495,0.40329684949107464,0.040329684949107464,13.44322831364805,0.03095630340771749,0.009373381541389971,0.3095630340771749,0.0937338154138997,0.2942430000039167,period=3ms
A1f,deadline-3000us,small,medium-3->medium-2,ok,3000.000002066372,0.0,,active:0,voltage,10,10,3000.000002066372,3000.000002066372,0.0,30.00000002066372,-0.007363444683142007,3.284513956308365,12.33605577704594,8.992642888006932,,-4.809883423149586,59.2600554227829,0.2697792868260294,0.026977928682602938,8.992642888002441,0.026977928682602938,0.0,0.2697792868260294,0.0,0.30013500000495696,marker high exceeded 3 ms period; period=3ms
A1g,deadline-3000us,small,medium-3->medium-1,ok,3000.000001338776,0.0,,active:0,voltage,10,10,3000.000001338776,3000.000001338776,0.0,30.000000013387762,-0.007323544821701944,3.282386064529419,10.605430215921686,6.457713041847893,,-5.175985395908356,90.4872789978981,0.19373139134189113,0.019373139134189112,6.457713041848547,0.019373139134189112,0.0,0.19373139134189113,0.0,0.31150300000444986,marker high exceeded 3 ms period; period=3ms
A1h,deadline-3000us,small,medium-3->low,ok,2999.9999998835847,0.0,,active:0,voltage,10,10,2999.9999998835847,2999.9999998835847,0.0,29.999999998835847,-0.0072429146897047755,3.285532375574112,8.362081596864934,4.831582260940208,,-5.698253866285086,91.37412905693054,0.14494746782258155,0.014494746782258153,4.83158226093779,0.014494746782258153,0.0,0.14494746782258155,0.0,0.4466130000000703,marker high exceeded 3 ms period; period=3ms
A1i,deadline-3000us,small,medium-2->high,ok,2352.5999968114775,647.4000008893199,,active:0,voltage,10,10,2999.9999977007974,2352.5999968114775,647.4000008893199,23.525999968114775,-0.007391354185529053,3.2837188243865967,11.548829835908037,13.3917120102118,13.565421479386139,-8.257145993411541,58.67840722203255,0.4028759551034309,0.04028759551034309,13.42919851373875,0.031505341632524504,0.008782253877818585,0.31505341632524503,0.08782253877818585,0.30280299999867566,period=3ms
A1j,deadline-3000us,small,medium-2->medium-3,ok,1792.699998622993,1207.3000012605917,,active:0,voltage,10,10,2999.9999998835847,1792.699998622993,1207.3000012605917,17.92699998622993,-0.007311411108821631,3.283012866973877,11.743404687902528,16.25864987367585,13.567850647579544,-7.6119485311210155,61.41066923737526,0.45527347710076715,0.045527347710076715,15.175782570622507,0.02914688160615042,0.0163804661039263,0.2914688160615042,0.16380466103926303,0.3013890000001993,period=3ms
