test,arch,platform,passed,status,extra_args,qemu,qemu_time,ram_size,rom_size
tests/kernel/test_critical/test,x86,qemu_x86,True,,,True,15.292662143707275,20671,14167
tests/bluetooth/init/test_19,x86,qemu_x86_iamcu,True,,CONF_FILE=prj_19.conf,True,,53922,44738
tests/crypto/test_ccm_mode/test,arm,qemu_cortex_m3,True,,,True,0.021729707717895508,7372,16240
tests/bluetooth/init/test_19,arm,nucleo_f103rb,True,,CONF_FILE=prj_19.conf,False,,14784,39288
tests/kernel/test_sema_priv/test,arm,nucleo_f103rb,True,,,False,,17572,17436
tests/bluetooth/init/test_9,x86,minnowboard,True,,CONF_FILE=prj_9.conf,False,,63708,54028
tests/benchmark/footprint/nanokernel/footprint-max,arm,nucleo_f103rb,True,,TEST=max,False,,4672,11300
tests/kernel/test_xip/microkernel/test,x86,minnowboard,True,,,False,,7436,13096
tests/bluetooth/init/test_7,arm,qemu_cortex_m3,True,,CONF_FILE=prj_7.conf,True,,13620,41820
tests/kernel/test_pool/test,arm,stm32_mini_a15,True,,,False,,20144,17072
tests/bluetooth/init/test_h5,x86,quark_se_devboard,True,,CONF_FILE=prj_h5.conf,False,,14140,29925
tests/bluetooth/test_bluetooth/test_nano,x86,minnowboard,True,,KERNEL_TYPE=nano,False,,26808,20776
tests/kernel/test_xip/nanokernel/test,x86,qemu_x86_iamcu,True,,,True,0.881723165512085,3332,7343
tests/bluetooth/init/test_21,x86,minnowboard,True,,CONF_FILE=prj_21.conf,False,,109350,96870
tests/kernel/test_events/test,arm,qemu_cortex_m3,True,,,True,0.32114076614379883,11596,13344
tests/bluetooth/init/test_h5_dbg,arm,stm32_mini_a15,True,,CONF_FILE=prj_h5_dbg.conf,False,,15404,28924
tests/bluetooth/tester/test_nble,x86,arduino_101,True,,"CONF_FILE=""prj_nble.conf""",False,,24324,43373
samples/synchronization/microkernel/test,arm,stm32_mini_a15,True,,,False,,8696,15448
tests/bluetooth/init/test_17,arm,frdm_k64f,True,,CONF_FILE=prj_17.conf,False,,18676,84406
samples/net/echo_client/test_bt,x86,minnowboard,True,,"CONF_FILE=""prj_bt.conf""",False,,132418,111502
tests/kernel/test_timer/nanokernel/test,x86,quark_d2000_crb,True,,,False,,1696,9259
samples/cpp_synchronization/nanokernel/test,x86,quark_se_devboard,True,,,False,,7268,14374
tests/kernel/test_ipm/test,x86,qemu_x86,True,,,True,0.2660346031188965,17800,13876
samples/drivers/pwm/test,x86,arduino_101,True,,,False,,5288,14731
tests/kernel/test_task/test,x86,arduino_101,True,,,False,,12672,21727
tests/kernel/test_xip/nanokernel/test,x86,quark_d2000_crb,True,,,False,,1040,5198
tests/bluetooth/init/test_nano,arm,nucleo_f103rb,True,,KERNEL_TYPE=nano,False,,7116,20284
