test,arch,platform,passed,status,extra_args,qemu,qemu_time,ram_size,rom_size
tests/kernel/test_tickless/microkernel/test,arm,arduino_due,True,,,False,,10440,12076
tests/kernel/test_stackprot/nanokernel/test,arm,olimexino_stm32,True,,,False,,4668,11000
tests/kernel/test_mail_priv/test,arm,stm32_mini_a15,True,,,False,,13132,23224
tests/kernel/test_fifo_priv/test,x86,minnowboard,True,,,False,,27243,18643
tests/bluetooth/init/test_9,x86,arduino_101,True,,CONF_FILE=prj_9.conf,False,,16156,59840
tests/kernel/test_atomic/test,x86,galileo,True,,,False,,37448,31252
tests/kernel/test_task/test,x86,quark_se_devboard,True,,,False,,12672,21714
tests/bluetooth/init/test_10,x86,minnowboard,True,,CONF_FILE=prj_10.conf,False,,63402,53722
tests/kernel/test_fifo/microkernel/test,x86,minnowboard,True,,,False,,31456,22872
tests/kernel/test_sema/microkernel/test,x86,arduino_101,True,,,False,,11660,23648
tests/bluetooth/init/test_9,x86,quark_se_devboard,True,,CONF_FILE=prj_9.conf,False,,16156,59799
tests/bluetooth/init/test_9,arm,nucleo_f103rb,True,,CONF_FILE=prj_9.conf,False,,14116,45248
tests/kernel/test_slist/test,x86,qemu_x86_iamcu,True,,,True,0.22960305213928223,12150,8994
samples/bluetooth/peripheral/test_arm,arm,frdm_k64f,True,,,False,,18028,58162
samples/cpp_synchronization/nanokernel/test,arm,qemu_cortex_m3,True,,,True,,5312,6420
tests/bluetooth/init/test_15,arm,qemu_cortex_m3,True,,CONF_FILE=prj_15.conf,True,,13776,42192
tests/kernel/test_stack/nanokernel/test,x86,qemu_x86_iamcu,True,,,True,1.2369379997253418,20869,11429
samples/drivers/pci_enum/test_nano,x86,qemu_x86,True,,KERNEL_TYPE=nano,True,,10249,7093
tests/kernel/test_map_priv/test,x86,arduino_101,True,,,False,,14596,21771
samples/bluetooth/peripheral_hr/test_arm,arm,nucleo_f103rb,True,,,False,,16948,54540
samples/kernel_event_logger/nanokernel/test,x86,arduino_101,True,,,False,,15988,17189
samples/drivers/gpio/test,x86,quark_se_devboard,True,,,False,,5388,15956
tests/kernel/test_stack/nanokernel/test,arm,nucleo_f103rb,True,,,False,,9880,11576
tests/bluetooth/init/test_13,x86,quark_se_devboard,True,,CONF_FILE=prj_13.conf,False,,16124,60939
tests/bluetooth/test_bluetooth/test_micro,arm,qemu_cortex_m3,True,,,True,0.007955074310302734,11440,20656
samples/drivers/i2c_fujitsu_fram/test,arm,arduino_due,True,,,False,,3340,7536
tests/bluetooth/init/test_12,arm,stm32_mini_a15,True,,CONF_FILE=prj_12.conf,False,,14008,44628
tests/bluetooth/init/test_18,arm,nucleo_f103rb,True,,CONF_FILE=prj_18.conf,False,,14784,38488
tests/benchmark/footprint/microkernel/footprint-min,arm,olimexino_stm32,True,,TEST=min,False,,1920,9188
tests/kernel/test_early_sleep/test,arm,arduino_due,True,,,False,,9032,13572
tests/bluetooth/shell/test_x86_nano,x86,minnowboard,True,,KERNEL_TYPE=nano,False,,112238,99294
samples/kernel_event_logger/microkernel/test,arm,stm32_mini_a15,True,,,False,,20272,34272
tests/kernel/test_critical/test,x86,minnowboard,True,,,False,,20687,14183
tests/kernel/test_sleep/test,arm,arduino_due,True,,,False,,3780,8212
tests/kernel/test_ring_buf/test,arc,arduino_101_sss,True,,,False,,5404,7872
tests/benchmark/footprint/microkernel/footprint-min,arm,stm32_mini_a15,True,,TEST=min,False,,1776,9148
tests/drivers/pinmux/test_pinmux_dev,arm,arduino_due,True,,,False,,3244,5532
tests/bluetooth/init/test_18,x86,arduino_101,True,,CONF_FILE=prj_18.conf,False,,16796,51314
tests/benchmark/footprint/microkernel/footprint-reg,arm,arduino_due,True,,TEST=reg,False,,5820,13748
tests/benchmark/boot_time/nanokernel/test,x86,arduino_101,True,,,False,,5756,13672
tests/bluetooth/init/test_19,arm,qemu_cortex_m3,True,,CONF_FILE=prj_19.conf,True,,14484,36784
tests/kernel/test_stack/nanokernel/test,arc,quark_se_sss_devboard,True,,,False,,10624,11112
